Title,Author,Language,Link,Download
የመጽሐፍ ቅዱስ መዝገበ ቃላት - A Dictionary of the Holy Bible,,amharic,https://en.z-lib.gs/book/1053818/53c4d5/%E1%8B%A8%E1%88%98%E1%8C%BD%E1%88%90%E1%8D%8D-%E1%89%85%E1%8B%B1%E1%88%B5-%E1%88%98%E1%8B%9D%E1%8C%88%E1%89%A0-%E1%89%83%E1%88%8B%E1%89%B5-a-dictionary-of-the-holy-bible.html,https://en.z-lib.gs/dl/1053818/985c07
Church Growth Principles,,swahili,https://en.z-lib.gs/book/16740533/fd6164/church-growth-principles.html,https://en.z-lib.gs/dl/16740533/3b9744
150 stories (Afrikaans Edition),,afrikaans,https://en.z-lib.gs/book/5351114/c575d9/150-stories-afrikaans-edition.html,https://en.z-lib.gs/dl/5351114/aa2959
የኢትዮጵያ ታሪክ : ኑብያ-አክሱም ዛጕዬ እስከ ዐፄ ይኵኖ አምላክ ዘመነ መንግሥት,,amharic,https://en.z-lib.gs/book/1217944/84e012/%E1%8B%A8%E1%8A%A2%E1%89%B5%E1%8B%AE%E1%8C%B5%E1%8B%AB-%E1%89%B3%E1%88%AA%E1%8A%AD-%E1%8A%91%E1%89%A5%E1%8B%AB%E1%8A%A0%E1%8A%AD%E1%88%B1%E1%88%9D-%E1%8B%9B%E1%8C%95%E1%8B%AC-%E1%8A%A5%E1%88%B5%E1%8A%A8-%E1%8B%90%E1%8D%84-%E1%8B%AD%E1%8A%B5%E1%8A%96-%E1%8A%A0%E1%88%9D%E1%88%8B%E1%8A%AD-%E1%8B%98%E1%88%98%E1%8A%90-%E1%88%98%E1%8A%95%E1%8C%8D%E1%88%A5%E1%89%B5.html,https://en.z-lib.gs/dl/1217944/0850e7
ዐፄ ምኒልክ እና የኢትዮጵያ አንድነት,,amharic,https://en.z-lib.gs/book/1055276/19dcb5/%E1%8B%90%E1%8D%84-%E1%88%9D%E1%8A%92%E1%88%8D%E1%8A%AD-%E1%8A%A5%E1%8A%93-%E1%8B%A8%E1%8A%A2%E1%89%B5%E1%8B%AE%E1%8C%B5%E1%8B%AB-%E1%8A%A0%E1%8A%95%E1%8B%B5%E1%8A%90%E1%89%B5.html,https://en.z-lib.gs/dl/1055276/cd4230
ዐፄ ዮሐንስ እና የኢትዮጵያ አንድነት,,amharic,https://en.z-lib.gs/book/1055272/a646e7/%E1%8B%90%E1%8D%84-%E1%8B%AE%E1%88%90%E1%8A%95%E1%88%B5-%E1%8A%A5%E1%8A%93-%E1%8B%A8%E1%8A%A2%E1%89%B5%E1%8B%AE%E1%8C%B5%E1%8B%AB-%E1%8A%A0%E1%8A%95%E1%8B%B5%E1%8A%90%E1%89%B5.html,https://en.z-lib.gs/dl/1055272/2ff41f
Die vrou in die blou mantel (Afrikaans Edition),,afrikaans,https://en.z-lib.gs/book/5683451/fd0dde/die-vrou-in-die-blou-mantel-afrikaans-edition.html,https://en.z-lib.gs/dl/5683451/199434
"ታሪክና ምሳሌ ፩ኛ መጽሐፍ - Stories and Parables, 1st book",,amharic,https://en.z-lib.gs/book/1053824/5c8272/%E1%89%B3%E1%88%AA%E1%8A%AD%E1%8A%93-%E1%88%9D%E1%88%B3%E1%88%8C-%E1%8A%9B-%E1%88%98%E1%8C%BD%E1%88%90%E1%8D%8D-stories-and-parables-1st-book.html,https://en.z-lib.gs/dl/1053824/852fa7
"ታሪክና ምሳሌ ፪ኛ መጽሐፍ - Stories and Parables, 2nd book",,amharic,https://en.z-lib.gs/book/1054377/1be134/%E1%89%B3%E1%88%AA%E1%8A%AD%E1%8A%93-%E1%88%9D%E1%88%B3%E1%88%8C-%E1%8A%9B-%E1%88%98%E1%8C%BD%E1%88%90%E1%8D%8D-stories-and-parables-2nd-book.html,https://en.z-lib.gs/dl/1054377/cb8567
Spaghetti tussen jou tone (Afrikaans Edition),,afrikaans,https://en.z-lib.gs/book/5659534/4afd5b/spaghetti-tussen-jou-tone-afrikaans-edition.html,https://en.z-lib.gs/dl/5659534/11f65e
"藏英汉对照拉萨语教程. A Lhasa Dialect Textbook In Tibetan, English, Chinese. བོད་དབྱིན་རྒྱ་གསུམ་ཤན་སྦྱར་གྱི་ལྟ་སའི་སྐད་སློབ་དེབ།",,tigrinya,https://en.z-lib.gs/book/3265386/d36f00/%E8%97%8F%E8%8B%B1%E6%B1%89%E5%AF%B9%E7%85%A7%E6%8B%89%E8%90%A8%E8%AF%AD%E6%95%99%E7%A8%8B-a-lhasa-dialect-textbook-in-tibetan-english-chinese-%E0%BD%96-%E0%BD%91%E0%BD%91%E0%BD%96-%E0%BD%93%E0%BD%A2-%E0%BD%82%E0%BD%A6-%E0%BD%98%E0%BD%A4%E0%BD%93%E0%BD%A6-%E0%BD%A2%E0%BD%82-%E0%BD%A3-.html,https://en.z-lib.gs/dl/3265386/1efcc5
Liefde is wynrooi (Afrikaans Edition) (Romanza),,afrikaans,https://en.z-lib.gs/book/5792027/07e213/liefde-is-wynrooi-afrikaans-edition-romanza.html,https://en.z-lib.gs/dl/5792027/47c6e1
Wie met vuur speel,,afrikaans,https://en.z-lib.gs/book/5351073/d3cc81/wie-met-vuur-speel.html,https://en.z-lib.gs/dl/5351073/f9a1f2
Ewé O USO DAS PLANTAS NA SOCIEDADE IORUBÁ,,yoruba,https://en.z-lib.gs/book/18411418/512591/ew%C3%A9-o-uso-das-plantas-na-sociedade-iorub%C3%81.html,https://en.z-lib.gs/dl/18411418/c32ace
አማርኛ መዝገበ ቃላት,,amharic,https://en.z-lib.gs/book/1053821/ed38a4/%E1%8A%A0%E1%88%9B%E1%88%AD%E1%8A%9B-%E1%88%98%E1%8B%9D%E1%8C%88%E1%89%A0-%E1%89%83%E1%88%8B%E1%89%B5.html,https://en.z-lib.gs/dl/1053821/057bae
Leo (Afrikaans Edition),,afrikaans,https://en.z-lib.gs/book/26705110/e821cc/leo-afrikaans-edition.html,https://en.z-lib.gs/dl/26705110/1d7def
Prooi (Afrikaans Edition),,afrikaans,https://en.z-lib.gs/book/5683438/9ad4c0/prooi-afrikaans-edition.html,https://en.z-lib.gs/dl/5683438/52daca
Fiela se kind,,afrikaans,https://en.z-lib.gs/book/5351062/9cbf49/fiela-se-kind.html,https://en.z-lib.gs/dl/5351062/c48728
አለቃ ገብረሐና እና አስቂኝ ቀልዶቻቸው,,amharic,https://en.z-lib.gs/book/1054397/489558/%E1%8A%A0%E1%88%88%E1%89%83-%E1%8C%88%E1%89%A5%E1%88%A8%E1%88%90%E1%8A%93-%E1%8A%A5%E1%8A%93-%E1%8A%A0%E1%88%B5%E1%89%82%E1%8A%9D-%E1%89%80%E1%88%8D%E1%8B%B6%E1%89%BB%E1%89%B8%E1%8B%8D.html,https://en.z-lib.gs/dl/1054397/25730c
Toe soen jy my (Afrikaans Edition),,afrikaans,https://en.z-lib.gs/book/5792010/705830/toe-soen-jy-my-afrikaans-edition.html,https://en.z-lib.gs/dl/5792010/ff5842
Feniks,,afrikaans,https://en.z-lib.gs/book/5619878/7be128/feniks.html,https://en.z-lib.gs/dl/5619878/b95ca7
Tuki kamusi ya kiswahili-kiingereza. Swahili-English dictionary,,swahili,https://en.z-lib.gs/book/3242992/c206d8/tuki-kamusi-ya-kiswahilikiingereza-swahilienglish-dictionary.html,https://en.z-lib.gs/dl/3242992/accd60
13 uur,,afrikaans,https://en.z-lib.gs/book/5351066/3e879b/13-uur.html,https://en.z-lib.gs/dl/5351066/10b541
Moord op Griekwastad. Die storie van die Steenkamp-treurspel,,afrikaans,https://en.z-lib.gs/book/2540905/7fdae2/moord-op-griekwastad-die-storie-van-die-steenkamptreurspel.html,https://en.z-lib.gs/dl/2540905/374a3a
Merk (Afrikaans Edition),,afrikaans,https://en.z-lib.gs/book/5838572/f706a0/merk-afrikaans-edition.html,https://en.z-lib.gs/dl/5838572/1ea056
多吉杰博 常用藏族谚语词典,,tigrinya,https://en.z-lib.gs/book/3269950/d609d2/%E5%A4%9A%E5%90%89%E6%9D%B0%E5%8D%9A-%E5%B8%B8%E7%94%A8%E8%97%8F%E6%97%8F%E8%B0%9A%E8%AF%AD%E8%AF%8D%E5%85%B8.html,https://en.z-lib.gs/dl/3269950/cfac9f
Orion,,afrikaans,https://en.z-lib.gs/book/5351070/b64306/orion.html,https://en.z-lib.gs/dl/5351070/5af6e4
Ndoto Ya Amerika,,swahili,https://en.z-lib.gs/book/21424449/1be918/ndoto-ya-amerika.html,https://en.z-lib.gs/dl/21424449/e94489
张国焘传.txt,,hausa,https://en.z-lib.gs/book/15932463/8d4ce0/%E5%BC%A0%E5%9B%BD%E7%84%98%E4%BC%A0txt.html,https://en.z-lib.gs/dl/15932463/65b22d
Ultrasatyn 2 (Afrikaans Edition),,afrikaans,https://en.z-lib.gs/book/5312770/f0b113/ultrasatyn-2-afrikaans-edition.html,https://en.z-lib.gs/dl/5312770/0fa06a
Donker Web,,afrikaans,https://en.z-lib.gs/book/19266821/3c5879/donker-web.html,https://en.z-lib.gs/dl/19266821/6b0e0a
