Title,Language,Link,Download
Karoonag en ander verhale,afrikaans,https://en.z-lib.gs/book/5351068/ed994b/karoonag-en-ander-verhale.html,https://en.z-lib.gs/dl/5351068/f716fa
Ena Murray - omnibus 36,afrikaans,https://en.z-lib.gs/book/5351086/364f90/ena-murray-omnibus-36.html,https://en.z-lib.gs/dl/5351086/6d44d5
Omnibus 3,afrikaans,https://en.z-lib.gs/book/5312780/e60723/omnibus-3.html,https://en.z-lib.gs/dl/5312780/c69e7b
በአዲስ ስርዓት የተሰናዳ የአማርኛ ሰዋስው,amharic,https://en.z-lib.gs/book/1128059/78410a/%E1%89%A0%E1%8A%A0%E1%8B%B2%E1%88%B5-%E1%88%B5%E1%88%AD%E1%8B%93%E1%89%B5-%E1%8B%A8%E1%89%B0%E1%88%B0%E1%8A%93%E1%8B%B3-%E1%8B%A8%E1%8A%A0%E1%88%9B%E1%88%AD%E1%8A%9B-%E1%88%B0%E1%8B%8B%E1%88%B5%E1%8B%8D.html,https://en.z-lib.gs/dl/1128059/fd5018
Vergeet van reëls (Afrikaans Edition),afrikaans,https://en.z-lib.gs/book/19241969/bf7b9a/vergeet-van-re%C3%ABls-afrikaans-edition.html,https://en.z-lib.gs/dl/19241969/4e744e
Ratels aan die Lomba: Die storie van Charlie-eskadron (Afrikaans Edition),afrikaans,https://en.z-lib.gs/book/5867353/414069/ratels-aan-die-lomba-die-storie-van-charlieeskadron-afrikaans-edition.html,https://en.z-lib.gs/dl/5867353/096fe6
Nuwe drome - Omnibus (Romanza),afrikaans,https://en.z-lib.gs/book/19266136/725669/nuwe-drome-omnibus-romanza.html,https://en.z-lib.gs/dl/19266136/b6985d
Afrikaans sonder grense: 9 Eerste addisionele taal,afrikaans,https://en.z-lib.gs/book/11641025/062cd1/afrikaans-sonder-grense-9-eerste-addisionele-taal.html,https://en.z-lib.gs/dl/11641025/183b98
ዐዲስ፡ያማርኛ፡መዝገበ፡ቃላት,amharic,https://en.z-lib.gs/book/1203994/c718b8/%E1%8B%90%E1%8B%B2%E1%88%B5%E1%8B%AB%E1%88%9B%E1%88%AD%E1%8A%9B%E1%88%98%E1%8B%9D%E1%8C%88%E1%89%A0%E1%89%83%E1%88%8B%E1%89%B5.html,https://en.z-lib.gs/dl/1203994/c4845b
Leer my liefhê (Afrikaans Edition),afrikaans,https://en.z-lib.gs/book/5351268/56c3b7/leer-my-liefh%C3%AA-afrikaans-edition.html,https://en.z-lib.gs/dl/5351268/638dc3
